"","spc_common","boroname","numtrees","avghealth"
"421","red maple","Queens",4935,1.68733535967578
"422","American linden","Queens",4769,1.79261899769344
"423","maple","Queens",2992,1.5975935828877
"424","silver maple","Queens",6116,1.72498364944408
"425","hedge maple","Queens",675,1.76592592592593
"426","catalpa","Queens",307,1.54723127035831
"427","empress tree","Queens",94,1.76595744680851
"428","American hornbeam","Queens",525,1.78095238095238
"429","Japanese maple","Queens",760,1.75
"430","paperbark maple","Queens",73,1.61643835616438
"431","European hornbeam","Queens",803,1.82440846824409
"432","ash","Queens",1324,1.8368580060423
"433","'Schubert' chokecherry","Queens",2013,1.78340784898162
"434","English oak","Queens",461,1.78308026030369
"435","sweetgum","Queens",2489,1.86822016874247
"436","sycamore maple","Queens",1603,1.66687461010605
"437","black locust","Queens",490,1.74285714285714
"438","Oklahoma redbud","Queens",82,1.71951219512195
"439","crab apple","Queens",1404,1.77564102564102
"440","sugar maple","Queens",1282,1.58658346333853
"441","dawn redwood","Queens",874,1.87757437070938
"442","Chinese tree lilac","Queens",204,1.86274509803922
"443","eastern cottonwood","Queens",106,1.75471698113208
"444","swamp white oak","Queens",1584,1.80555555555556
"445","scarlet oak","Queens",276,1.77173913043478
"446","Kentucky coffeetree","Queens",1036,1.8030888030888
"447","shingle oak","Queens",333,1.80780780780781
"448","serviceberry","Queens",888,1.73423423423423
"449","Amur maackia","Queens",675,1.84592592592593
"450","white oak","Queens",507,1.76331360946746
"451","Amur maple","Queens",671,1.69895678092399
"452","common hackberry","Queens",631,1.77496038034865
"453","sawtooth oak","Queens",579,1.88773747841105
"454","horse chestnut","Queens",574,1.68292682926829
"455","willow oak","Queens",730,1.86986301369863
"456","tartar maple","Queens",50,1.7
"457","hawthorn","Queens",1058,1.7296786389414
"458","crimson king maple","Queens",2903,1.69342059937996
"459","tulip-poplar","Queens",489,1.75664621676891
"460","Chinese fringetree","Queens",93,1.88172043010753
"461","eastern redcedar","Queens",532,1.80827067669173
"462","Japanese snowbell","Queens",198,1.76262626262626
"463","black oak","Queens",372,1.84139784946236
"464","magnolia","Queens",317,1.79179810725552
"465","cucumber magnolia","Queens",52,1.80769230769231
"466","black cherry","Queens",269,1.6542750929368
"467","Virginia pine","Queens",3,2
"468","cockspur hawthorn","Queens",120,1.725
"469","Chinese chestnut","Queens",59,1.83050847457627
